№,Name,Info,Img
1,"Мужчина потратил восемь лет, чтобы побить рекорд, но ему отказали из-за формы спичек","Представители Книги рекордов Гиннесса отказались регистрировать семиметровую модель Эйфелевой башни из спичек. Об этом сообщает TF1.По теме:Экс-рефери FIFA по футзалу Нурдин Букуев попал в Книгу рекордов ГиннессаКак сообщает источник, 47-летний француз Ришар Пло создавал миниатюру Эйфелевой башни примерно полгода, а сам проект занял у него восемь лет. Построена конструкция из 706 900 спичек. Отмечается, что его модель Эйфелевой башни – самая высокая конструкция из спичек в мире. 






                    Эйфелева башня из спичек. Фото: Facebook/Richard Plaud.                


Тем не менее эксперты Книги рекордов Гиннесса не засчитали рекорд. Их решение объясняется тем, что при строительстве ему следовало использовать магазинные спички, с которых необходимо срезать воспламеняемые серные наконечники, но не деформировать. Что касается заявки Пло, то ее дисквалифицировали, поскольку спички, которые он использовал, не были доступны в продаже.Изначально мужчина собирал башню из обычных спичек, но потом устал от необходимости постоянно срезать наконечники. Тогда он решил заказать у производителей спички без воспламеняющихся элементов. Француз назвал решение Книги рекордов Гиннесса ""большим разочарованием"". Мол, они даже не видели башню в реальной жизни, а просто отклонили заявку. Поэтому пока рекорд остается за ливанским мастером Туфиком Дахером. В 2009 году он представил модель высотой 6,53 метра.",
#,name,info,img
1,В Ананьево обнаружили раненого филина,"Житель Ананьево Иссык-Кульской области обнаружил у себя в саду филина, который не мог улететь. Птицу забрал фотограф Иван Турковский и передал общественному фонду ""Бугу-Эне"". Во время рентгена у ветеринара выяснилось, что у филина множественные повреждения левого крыла: огнестрельные ранения, застрявшая дробь, перелом, подвывих суставов, а также грибковое поражение легких. ""Дробь извлекли, лечение назначили. Филя - так теперь его зовут, пока будет жить в небольшом вольере, чтобы исключить травматизацию крыла и дать ему покой"", - рассказали в фонде. 
slide 2  of 3






                                В Ананьево обнаружили раненного филина. Фото: ОФ ""Бугу-Эне"".                            








                                В Ананьево обнаружили раненного филина. Фото: ОФ ""Бугу-Эне"".                            








                                В Ананьево обнаружили раненного филина. Фото: ОФ ""Бугу-Эне"".                            








                                В Ананьево обнаружили раненного филина. Фото: ОФ ""Бугу-Эне"".                            








                                В Ананьево обнаружили раненного филина. Фото: ОФ ""Бугу-Эне"".                            




1

                         из                     
3





Оказать помощь в спасении диких животных вы можете, перечислив средства по следующим реквизитам:4169 5853 5200 6620 - карта VISA (Optima Bank);4177 4901 5849 5939 - карта VISA (банк ""Кыргызстан"");2202 2069 4940 5034 или +79091681171 - Сбербанк;+996553634238 - электронный кошелек MBank (банк ""Кыргызстан"");+996553634238 - электронный кошелек ""Элсом"" (KIСB);расчетный счет в Optima Bank/""Оптима Банк"" - 1091820239920161 (multicurrency), BIC/БИК: 109018, SWIFT: ENEJKG22, получатель: общественный фонд ""Бугу-Эне"" (BUGU-ENYE Foundation);⠀Demir Kyrgyz International Bank/""Демир Банк"": 1180000087152686 - KGS, 1180000087152787 - USD, 1180000087152888 - EUR, BIC/БИК: 118005 (Head Saltanat Seitova).",
#,name,info,img
1,"Мужчина систематически избивал жену, несмотря на охранный ордер","Задержан мужчина, который систематически совершал семейное насилие. Об этом сообщили в пресс-службе УВД Первомайского района.Известно, что 6 февраля в милицию с заявлением обратилась женщина. Она рассказала, что муж К. Н. очень часто избивает ее и наносит телесные повреждения. 






                    Мужчина систематически избивал жену, несмотря на охранный ордер. Фото: пресс-служба УВД Первомайского района.                


Участковые районного управления неоднократно предупреждали мужчину, был выдан охранный ордер, также доставляли в районный суд. Но несмотря на эти требования, насилие в семье продолжалось. Данный факт был зарегистрирован в ЖУИ, и возбуждено уголовное дело по статье ""Истязание"" УК КР.По теме:Сотрудники ГКНБ задержали мужчину, который преследовал и избивал бывшую супругуУчастковые УВД Первомайского района задержали подозреваемого К. Н., 1974 года рождения. Он водворен в ИВС. Расследование продолжается.",
#,name,info,img
1,В Австралии хотят разрешить игнорировать звонки начальника в нерабочее время,"В Австралии на законодательном уровне планируют принять закон, предоставляющий австралийцам право игнорировать звонки, SMS и электронные письма начальства в нерабочее время, передает news.com.au.Право игнорировать необоснованные звонки от начальства было включено в качестве поправки в законопроект федерального правительства ""Право на отключение"". Это изменение призвано защитить сотрудников, которые отказываются отвечать на необоснованные звонки с работы или отвечать на электронные письма в выходные дни.Данный законопроект прошел верхнюю палату парламента, предоставив работникам право игнорировать звонки и электронные письма в нерабочее время, не подвергаясь при этом наказанию.По теме:Депутат предлагает поощрять сообщивших о нарушении ПДД - до 50% от суммы штрафаСогласно новому законодательству, если работник выскажет опасения по поводу постоянного контакта с работодателем в нерабочее время, то последний может получить штраф в размере $18 000.Также будут внесены поправки в закон о справедливом трудоустройстве, чтобы предоставить работникам право ""отключаться"", однако будет признано, что у работодателей есть законная причина связываться со своими сотрудниками дома, например, чтобы заполнить свободные смены.Как отметили в Australian Broadcasting Corporation, при принятии решения будут также учитывать, как часто работодатель контактирует с сотрудником, как с ним связываются, характер их должностной инструкции и оплату труда.Премьер-министр Энтони Албанезе поддержал данный законопроект вместе с сенаторами Дэвидом Пококом и Лидией Торп.В отчете, опубликованном в 2022 году Центром будущего австралийского института, говорится, что 71 процент опрошенных людей выполняли работу в нерабочее время, причем многие делали это для того, чтобы соответствовать ожиданиям работодателя.По мнению доцента кафедры труда и организационных исследований Сиднейского университета Криса Райта, это может оказать значительное влияние на психическое здоровье и благополучие сотрудников.Фото на главной странице иллюстративное: SmartCompany.",
#,name,info,img
1,Карманные кражи на рынке в Джалал-Абаде. Подозреваемого задержали в Бишкеке,"В Бишкеке задержали подозреваемого в совершении карманных краж на рынке в Джалал-Абаде. Об этом сообщили в пресс-службе УВД Джалал-Абадской области.Известно, что с заявлением в ОВД Джалал-Абада обратилась 30-летняя жительница. Она сообщила, что 31 января примерно в 14:40 на центральном рынке Джалал-Абада неизвестный вытащил из кармана ее одежды мобильный телефон марки Samsung А23.По данному факту было возбуждено уголовное дело по ст. ""Кража"" УК КР. С 22 января по 22 февраля на территории Джалал-Абадской области проходят рейдовые мероприятия, направленные на раскрытие преступлений, связанных с карманными кражами, а также профилактику таких преступлений.Сотрудники уголовного розыска ОВД Джалал-Абада и УВД Джалал-Абадской области задержали подозреваемого. Им оказался житель Базар-Коргонского района М. Д., 1984 года рождения. Его задержали в Бишкеке, а после доставили в Джалал-Абад и водворили в ИВС.По теме:В Бишкеке задержали подозреваемых в совершении квартирных кражВ ходе следственных мероприятий было установлено, что подозреваемый имеет отношение и к другим фактам карманных краж. Его подозревают в краже еще нескольких мобильных телефонов на территории Джалал-Абада. Следственные мероприятия продолжаются.",
#,name,info,img
1,В Туркменистане граждан обязывают включать на свадьбах песни Гурбангулы Бердымухамедова,"Власти в западных областях Туркменистана обязывают местных жителей включать песни экс-президента Гурбангулы Бердымухамедова на свадебных торжествах и исключить иностранную музыку из плейлистов, сообщает ""Радио Азатлык"".По теме:""Авторитарная страна"". Снизилась позиция КР в рейтинге восприятия коррупции (инфографика)Отмечается, что официального постановления не было, но инструкции устно передаются будущим женихам и невестам, когда они подают заявление в загс.""Загсы предупреждают будущие пары, что их свадебные торжества должны сопровождаться исключительно туркменской музыкой, а сама свадьба должна проходить в туркменском стиле"", - сообщает источник в Балканском велаяте.О новых правилах за последние недели также предупредили владельцев и сотрудников мест для проведения свадеб, ресторанов и банкетных залов.""Владельцы ресторанов, в которых проводятся свадьбы, следят за тем, чтобы не менее 80% песен были на туркменском языке"", - сообщил на условиях анонимности один из сотрудников ресторана.Невыполнение указаний властей и критика политики правительства в стране не допускаются.Рассказывая о недавней свадьбе, сотрудник ресторана упомянул, что в репертуар с большим количеством туркменских песен включили традиционный туркменский народный танец куш депти и две песни Гурбангулы Бердымухамедова.""Песни Бердымухамедова, каждую продолжительностью по семь минут, диджей обязан был проиграть дважды"", - добавил он.Бывший президент Туркменистана пишет песни о своем народе, о стране, о молодежи и о своем любимом коне.",
#,name,info,img
1,Сборная Катара второй раз подряд выиграла Кубок Азии,"Сборная Катара одержала победу над командой Иордании в финале домашнего Кубка Азии по футболу.По теме:Официально. Камчыбек Ташиев - единственный кандидат на пост главы Футбольного союзаВстреча в Лусаиле завершилась со счетом 3:1. В составе катарской сборной хет‑трик оформил Акрам Афиф, все мячи забив с пенальти. У иорданцев отличился Язан Аль‑Наймат.Сборная Катара стала победителем Кубка Азии во второй раз в истории, первый трофей команда выиграла на прошлом турнире в 2019 году.",
